Вершина,Зависимое,Лемма вершины,Лемма зависимого,Отношение,Гиперонимы вершина,Гиперонимы зависимого,Ярлык
вершина,зависимое,вершина,зависимый,Отношение,['вершина'],['зависимый'],
сын,партнера,сын,партнёр,KIN-SOC,"['близкий родственник', 'группа людей', 'дети (сыновья и дочери)', 'живой организм', 'мужчина, человек мужского пола', 'поколение семьи', 'родственник', 'субъект деятельности', 'сын', 'человек', 'человек по роли', 'член семьи']",['партнёр'],KIN-SOC
вице-премьер,правительства,вице-премьер,правительство,KIN-SOC,"['административная должность', 'вице-премьер', 'государственный служащий', 'должностное лицо', 'должность', 'заместитель должностного лица', 'работник', 'служащий (работник)']","['государственный орган', 'группа людей', 'орган власти', 'орган государственной власти', 'орган исполнительной власти', 'правительство', 'руководство, начальство', 'руководящий орган', 'совокупность людей', 'субъект деятельности']",
представитель,президента,представитель,президент,KIN-SOC,['представитель'],['президент'],
президента,рф,президент,рф,MB,['президент'],['рф'],
орагнизации,форума,орагнизация,форум,OB  ,['орагнизация'],['форум'],
заместитель,главы,заместитель,глава,KIN-SOC,['заместитель'],['глава'],KIN-SOC
главы,администрации,глава,администрация,MB,['глава'],['администрация'],
администрации,президента,администрация,президент,MB,['администрация'],['президент'],
руководитель,отделения,руководитель,отделение,MB,"['биологическая сущность', 'живой организм', 'лидер', 'постоянная сущность', 'руководитель', 'субъект деятельности', 'человек']",['отделение'],
профессор,биофизики,профессор,биофизик,ATR,"['звание', 'название, наименование', 'научный работник', 'профессор', 'профессорско-преподавательский состав', 'работник', 'работник высшей школы', 'служащий (работник)', 'тип, вид, класс', 'ученое звание']",['биофизик'],
отеделения,рентгенологии,отеделение,рентгенология,ATR,['отеделение'],"['занятие, деятельность', 'медицина', 'радиационная медицина', 'рентгенология', 'сфера деятельности']",
отец,малыша,отец,малыш,KIN-SOC,"['близкий родственник', 'мужчина, человек мужского пола', 'отец', 'родитель', 'родственник', 'родственник-мужчина', 'человек', 'человек по роли', 'член семьи']","['дошкольник', 'малолетние дети', 'малыш', 'несовершеннолетние дети', 'социально-демографическая общность', 'человек', 'человек по возрасту']",KIN-SOC
адвокат,дьявола,адвокат,дьявол,KIN-SOC,"['адвокат', 'работник', 'человек', 'юрист']",['дьявол'],KIN-SOC
директор,"""би-би-си""",директор,"""би-би-си""",MB,['директор'],"['""би-би-си""']",
похищении,экспедитора,похищение,экспедитор,OB  ,['похищение'],"['работник', 'транспортный работник', 'человек', 'экспедитор']",
экспедитора,компании,экспедитор,компания,MB,"['работник', 'транспортный работник', 'человек', 'экспедитор']","['компания', 'организация, учреждение', 'предприятие', 'субъект деятельности', 'экономический агент']",
обязанности,тренера,обязанность,тренер,ATR,"['абстрактная сущность', 'обязанность', 'постоянная сущность']","['педагогический работник', 'работник', 'работник физической культуры и спорта', 'служащий (работник)', 'тренер', 'человек']",
директор,клуба,директор,клуб,MB,['директор'],['клуб'],
вещи,отца,вещий,отец,POS,['вещий'],"['близкий родственник', 'мужчина, человек мужского пола', 'отец', 'родитель', 'родственник', 'родственник-мужчина', 'человек', 'человек по роли', 'член семьи']",
некорректность,высказываний,некорректность,высказывание,PAR,['некорректность'],['высказывание'],
женой,офицера,жена,офицер,KIN-SOC,"['близкий родственник', 'взрослая женщина', 'жена', 'женщина, человек женского пола', 'родственник', 'семейное положение', 'совершеннолетний, взрослый человек', 'статус', 'супруги', 'человек', 'человек по роли', 'член семьи']","['военнослужащий', 'воин (человек)', 'офицер', 'человек по сфере деятельности']",KIN-SOC
подробности,задержания,подробность,задержание,ATR,['подробность'],['задержание'],
обозреватель,"""кп""",обозреватель,"""кп""",MB,['обозреватель'],"['""кп""']",
друг,человека,друг,человек,KIN-SOC,['друг'],"['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",KIN-SOC
